id;agent;badges;checkItemStates;closed;dueComplete;dateLastActivity;desc;descData;due;dueReminder;email;idBoard;idChecklists;idList;idMembers;idMembersVoted;idShort;idAttachmentCover;labels;idLabels;manualCoverAttachment;name;nodeId;pinned;pos;shortLink;shortUrl;start;subscribed;url;cover;isTemplate;cardRole;mirrorSourceId
69fe604e330b4b2285f67ef0;{'name': None, 'conversationId': None};{'attachments': 0, 'fogbugz': '', 'checkItems': 0, 'checkItemsChecked': 0, 'checkItemsEarliestDue': None, 'comments': 0, 'description': False, 'due': None, 'dueComplete': False, 'lastUpdatedByAi': False, 'start': None, 'externalSource': None, 'attachmentsByType': {'trello': {'board': 0, 'card': 0}}, 'location': False, 'votes': 0, 'maliciousAttachments': 0, 'viewingMemberVoted': False, 'subscribed': False};[];False;False;11/05/2026 22:14:52;;{'emoji': {}};;;;69fd20465fb2b7d1fb85e050;[];69fd20465fb2b7d1fb85e0a3;[];[];1;;[];[];False;ticket:;ari:cloud:trello::card/workspace/69b88b222265d8836cfbaa99/69fe604e330b4b2285f67ef0;False;140737488355328;7KLUeUYH;https://trello.com/c/7KLUeUYH;;False;https://trello.com/c/7KLUeUYH/1-ticket;{'idAttachment': None, 'color': None, 'idUploadedBackground': None, 'size': 'normal', 'brightness': 'dark', 'yPosition': 0.5, 'idPlugin': None};False;;
69fe6cd6c41470294cca23da;{'name': None, 'conversationId': None};{'attachments': 0, 'fogbugz': '', 'checkItems': 0, 'checkItemsChecked': 0, 'checkItemsEarliestDue': None, 'comments': 0, 'description': False, 'due': None, 'dueComplete': False, 'lastUpdatedByAi': False, 'start': None, 'externalSource': None, 'attachmentsByType': {'trello': {'board': 0, 'card': 0}}, 'location': False, 'votes': 0, 'maliciousAttachments': 0, 'viewingMemberVoted': False, 'subscribed': False};[];False;False;11/05/2026 22:14:51;;{'emoji': {}};;;;69fd20465fb2b7d1fb85e050;[];69fd20465fb2b7d1fb85e0a3;[];[];10;;[];[];False;Consultor: Janaina;ari:cloud:trello::card/workspace/69b88b222265d8836cfbaa99/69fe6cd6c41470294cca23da;False;140737488388096;iZlWEDjU;https://trello.com/c/iZlWEDjU;;False;https://trello.com/c/iZlWEDjU/10-consultor-janaina;{'idAttachment': None, 'color': None, 'idUploadedBackground': None, 'size': 'normal', 'brightness': 'dark', 'yPosition': 0.5, 'idPlugin': None};False;;
69fe6cdc11c6cfe5147b16e7;{'name': None, 'conversationId': None};{'attachments': 0, 'fogbugz': '', 'checkItems': 0, 'checkItemsChecked': 0, 'checkItemsEarliestDue': None, 'comments': 0, 'description': False, 'due': None, 'dueComplete': False, 'lastUpdatedByAi': False, 'start': None, 'externalSource': None, 'attachmentsByType': {'trello': {'board': 0, 'card': 0}}, 'location': False, 'votes': 0, 'maliciousAttachments': 0, 'viewingMemberVoted': False, 'subscribed': False};[];False;False;11/05/2026 21:59:16;;{'emoji': {}};;;;69fd20465fb2b7d1fb85e050;[];69fd20465fb2b7d1fb85e0a3;[];[];11;;[];[];False;Documento de abertura;ari:cloud:trello::card/workspace/69b88b222265d8836cfbaa99/69fe6cdc11c6cfe5147b16e7;False;140737488404480;dod6gzYJ;https://trello.com/c/dod6gzYJ;;False;https://trello.com/c/dod6gzYJ/11-documento-de-abertura;{'idAttachment': None, 'color': None, 'idUploadedBackground': None, 'size': 'normal', 'brightness': 'dark', 'yPosition': 0.5, 'idPlugin': None};False;;
69fe6ccf4730a25c46d543de;{'name': None, 'conversationId': None};{'attachments': 0, 'fogbugz': '', 'checkItems': 0, 'checkItemsChecked': 0, 'checkItemsEarliestDue': None, 'comments': 0, 'description': False, 'due': None, 'dueComplete': False, 'lastUpdatedByAi': False, 'start': None, 'externalSource': None, 'attachmentsByType': {'trello': {'board': 0, 'card': 0}}, 'location': False, 'votes': 0, 'maliciousAttachments': 0, 'viewingMemberVoted': False, 'subscribed': False};[];False;False;11/05/2026 22:04:11;;{'emoji': {}};;;;69fd20465fb2b7d1fb85e050;[];69fd20465fb2b7d1fb85e0a3;[];[];9;;[];[];False;Analista: Tiago Madrid;ari:cloud:trello::card/workspace/69b88b222265d8836cfbaa99/69fe6ccf4730a25c46d543de;False;140737488412672;QiYzH1gU;https://trello.com/c/QiYzH1gU;;False;https://trello.com/c/QiYzH1gU/9-analista-tiago-madrid;{'idAttachment': None, 'color': None, 'idUploadedBackground': None, 'size': 'normal', 'brightness': 'dark', 'yPosition': 0.5, 'idPlugin': None};False;;
69fe6d1c9fe059f11eebfc4b;{'name': None, 'conversationId': None};{'attachments': 0, 'fogbugz': '', 'checkItems': 0, 'checkItemsChecked': 0, 'checkItemsEarliestDue': None, 'comments': 0, 'description': False, 'due': None, 'dueComplete': False, 'lastUpdatedByAi': False, 'start': None, 'externalSource': None, 'attachmentsByType': {'trello': {'board': 0, 'card': 0}}, 'location': False, 'votes': 0, 'maliciousAttachments': 0, 'viewingMemberVoted': False, 'subscribed': False};[];False;False;11/05/2026 22:04:12;;{'emoji': {}};;;;69fd20465fb2b7d1fb85e050;[];69fd20465fb2b7d1fb85e0a3;[];[];12;;[];[];False;Documento de conclusão;ari:cloud:trello::card/workspace/69b88b222265d8836cfbaa99/69fe6d1c9fe059f11eebfc4b;False;140737488420864;uhQd67kj;https://trello.com/c/uhQd67kj;;False;https://trello.com/c/uhQd67kj/12-documento-de-conclus%C3%A3o;{'idAttachment': None, 'color': None, 'idUploadedBackground': None, 'size': 'normal', 'brightness': 'dark', 'yPosition': 0.5, 'idPlugin': None};False;;
69fe6d29456b0b7b0c6f480d;{'name': None, 'conversationId': None};{'attachments': 0, 'fogbugz': '', 'checkItems': 0, 'checkItemsChecked': 0, 'checkItemsEarliestDue': None, 'comments': 0, 'description': False, 'due': '2026-03-03T17:47:00.000Z', 'dueComplete': True, 'lastUpdatedByAi': False, 'start': '2026-02-27T11:00:00.000Z', 'externalSource': None, 'attachmentsByType': {'trello': {'board': 0, 'card': 0}}, 'location': False, 'votes': 0, 'maliciousAttachments': 0, 'viewingMemberVoted': False, 'subscribed': False};[];False;True;08/05/2026 23:12:26;;{'emoji': {}};03/03/2026 17:47:00;1440.0;;69fd20465fb2b7d1fb85e050;[];69fd20465fb2b7d1fb85e0a4;[];[];13;;[];[];False;Alinhamento;ari:cloud:trello::card/workspace/69b88b222265d8836cfbaa99/69fe6d29456b0b7b0c6f480d;False;140737488355328;1QvpeGBO;https://trello.com/c/1QvpeGBO;27/02/2026 11:00:00;False;https://trello.com/c/1QvpeGBO/13-alinhamento;{'idAttachment': None, 'color': None, 'idUploadedBackground': None, 'size': 'normal', 'brightness': 'dark', 'yPosition': 0.5, 'idPlugin': None};False;;
69fe6d3224ca88f3975ed982;{'name': None, 'conversationId': None};{'attachments': 0, 'fogbugz': '', 'checkItems': 0, 'checkItemsChecked': 0, 'checkItemsEarliestDue': None, 'comments': 0, 'description': False, 'due': '2026-03-04T17:47:00.000Z', 'dueComplete': True, 'lastUpdatedByAi': False, 'start': '2026-03-03T11:00:00.000Z', 'externalSource': None, 'attachmentsByType': {'trello': {'board': 0, 'card': 0}}, 'location': False, 'votes': 0, 'maliciousAttachments': 0, 'viewingMemberVoted': False, 'subscribed': False};[];False;True;08/05/2026 23:12:54;;{'emoji': {}};04/03/2026 17:47:00;1440.0;;69fd20465fb2b7d1fb85e050;[];69fd20465fb2b7d1fb85e0a4;[];[];14;;[];[];False;Kick-Off;ari:cloud:trello::card/workspace/69b88b222265d8836cfbaa99/69fe6d3224ca88f3975ed982;False;140737488371712;Rq4SFnuS;https://trello.com/c/Rq4SFnuS;03/03/2026 11:00:00;False;https://trello.com/c/Rq4SFnuS/14-kick-off;{'idAttachment': None, 'color': None, 'idUploadedBackground': None, 'size': 'normal', 'brightness': 'dark', 'yPosition': 0.5, 'idPlugin': None};False;;
69fe6d393557e50914e4616d;{'name': None, 'conversationId': None};{'attachments': 0, 'fogbugz': '', 'checkItems': 0, 'checkItemsChecked': 0, 'checkItemsEarliestDue': None, 'comments': 0, 'description': False, 'due': '2026-03-05T17:47:00.000Z', 'dueComplete': True, 'lastUpdatedByAi': False, 'start': None, 'externalSource': None, 'attachmentsByType': {'trello': {'board': 0, 'card': 0}}, 'location': False, 'votes': 0, 'maliciousAttachments': 0, 'viewingMemberVoted': False, 'subscribed': False};[];False;True;08/05/2026 23:13:10;;{'emoji': {}};05/03/2026 17:47:00;1440.0;;69fd20465fb2b7d1fb85e050;[];69fd20465fb2b7d1fb85e0a4;[];[];15;;[];[];False;Configuração;ari:cloud:trello::card/workspace/69b88b222265d8836cfbaa99/69fe6d393557e50914e4616d;False;140737488388096;EWCNHhiL;https://trello.com/c/EWCNHhiL;;False;https://trello.com/c/EWCNHhiL/15-configura%C3%A7%C3%A3o;{'idAttachment': None, 'color': None, 'idUploadedBackground': None, 'size': 'normal', 'brightness': 'dark', 'yPosition': 0.5, 'idPlugin': None};False;;
69fe6d40e92539d13ec8a617;{'name': None, 'conversationId': None};{'attachments': 0, 'fogbugz': '', 'checkItems': 0, 'checkItemsChecked': 0, 'checkItemsEarliestDue': None, 'comments': 0, 'description': False, 'due': '2026-03-05T17:47:00.000Z', 'dueComplete': True, 'lastUpdatedByAi': False, 'start': None, 'externalSource': None, 'attachmentsByType': {'trello': {'board': 0, 'card': 0}}, 'location': False, 'votes': 0, 'maliciousAttachments': 0, 'viewingMemberVoted': False, 'subscribed': False};[];False;True;08/05/2026 23:16:22;;{'emoji': {}};05/03/2026 17:47:00;1440.0;;69fd20465fb2b7d1fb85e050;[];69fd20465fb2b7d1fb85e0a4;[];[];16;;[];[];False;Double Check;ari:cloud:trello::card/workspace/69b88b222265d8836cfbaa99/69fe6d40e92539d13ec8a617;False;140737488404480;SuUwhmWG;https://trello.com/c/SuUwhmWG;;False;https://trello.com/c/SuUwhmWG/16-double-check;{'idAttachment': None, 'color': None, 'idUploadedBackground': None, 'size': 'normal', 'brightness': 'dark', 'yPosition': 0.5, 'idPlugin': None};False;;
69fe6d4a88f0dbc823477d2f;{'name': None, 'conversationId': None};{'attachments': 0, 'fogbugz': '', 'checkItems': 0, 'checkItemsChecked': 0, 'checkItemsEarliestDue': None, 'comments': 0, 'description': False, 'due': '2026-03-06T17:47:00.000Z', 'dueComplete': True, 'lastUpdatedByAi': False, 'start': '2026-03-05T11:00:00.000Z', 'externalSource': None, 'attachmentsByType': {'trello': {'board': 0, 'card': 0}}, 'location': False, 'votes': 0, 'maliciousAttachments': 0, 'viewingMemberVoted': False, 'subscribed': False};[];False;True;08/05/2026 23:16:38;;{'emoji': {}};06/03/2026 17:47:00;1440.0;;69fd20465fb2b7d1fb85e050;[];69fd20465fb2b7d1fb85e0a4;[];[];17;;[];[];False;Encaminhar dispositivo;ari:cloud:trello::card/workspace/69b88b222265d8836cfbaa99/69fe6d4a88f0dbc823477d2f;False;140737488420864;BPnngD7W;https://trello.com/c/BPnngD7W;05/03/2026 11:00:00;False;https://trello.com/c/BPnngD7W/17-encaminhar-dispositivo;{'idAttachment': None, 'color': None, 'idUploadedBackground': None, 'size': 'normal', 'brightness': 'dark', 'yPosition': 0.5, 'idPlugin': None};False;;
